ver, CSIG, CBAK, COVL, PESQ, STOI, ESTOI, SDR, SI-SDR, SegSNR
noisy_speech, 3.50, 2.47, 2.73, 1.99, 91.53, 78.31, 8.39, 8.39, 1.71, 8.39
xi_gamma_bar_demand_vb_mha_e125_wf, 3.86, 3.45, 3.35, 2.83, 93.51, 84.42, 18.60, 18.51, 9.89
xi_gamma_bar_demand_vb_mha_e125_srwf, 4.31, 3.41, 3.62, 2.89, 94.05, 84.96, 17.35, 17.27, 8.47
xi_gamma_bar_demand_vb_mha_e125_cwf, 4.38, 3.49, 3.72, 3.01, 94.02, 84.94, 17.74, 17.77, 8.84
xi_gamma_bar_demand_vb_mha_e125_mmse-stsa, 4.34, 3.47, 3.67, 2.95, 93.99, 84.88, 17.71, 17.62, 8.87
xi_gamma_bar_demand_vb_mha_e125_mmse-lsa, 4.35, 3.52, 3.70, 3.00, 93.98, 84.92, 18.16, 18.07, 9.30
noisy_speech, 3.50, 2.47, 2.73, 1.99, 91.53, 78.31, 8.39, 8.39, 1.71
ibm_mse_demand_vb_chimerapp_e125, 4.09, 3.11, 3.38, 2.68, 93.55, 83.73, 14.48, 14.32, 6.12
ibm_demand_vb_chimerapp_e125, 3.66, 2.52, 2.90, 2.19, 90.90, 78.30, 7.44, 8.21, 1.10
irm_mse_demand_vb_chimerapp_e125, 4.14, 3.26, 3.44, 2.73, 93.65, 84.08, 16.90, 16.80, 7.92
irm_demand_vb_chimerapp_e125, 3.52, 2.34, 2.73, 1.98, 91.31, 78.05, 4.90, 5.89, -0.15
mag_norm_demand_vb_chimerapp_e125, 4.27, 3.34, 3.62, 2.94, 93.45, 83.57, 15.23, 15.24, 7.00
pow_db_demand_vb_chimerapp_e125, 3.90, 2.93, 3.19, 2.49, 89.72, 76.42, 9.26, 8.96, 4.58
pow_db_std_demand_vb_chimerapp_e125, 3.96, 3.01, 3.27, 2.58, 89.95, 77.32, 10.00, 9.85, 4.90
pow_db_norm_mse_demand_vb_chimerapp_e125, 4.01, 3.08, 3.33, 2.66, 91.04, 79.09, 10.95, 10.89, 5.45
pow_db_norm_demand_vb_chimerapp_e125, 4.06, 3.12, 3.39, 2.72, 91.02, 79.42, 11.36, 11.34, 5.61
mag_bar_mse_demand_vb_chimerapp_e125, 3.66, 2.71, 2.89, 2.13, 88.41, 74.78, 6.08, 5.70, 3.82
mag_bar_demand_vb_chimerapp_e125, 3.83, 2.87, 3.10, 2.38, 89.21, 76.05, 8.47, 8.24, 4.40
xi_norm_mse_demand_vb_chimerapp_e125_mmse-lsa, 3.50, 2.47, 2.73, 1.99, 91.53, 78.31, 8.43, 8.42, 1.73
xi_norm_mse_demand_vb_chimerapp_e125_srwf, 3.50, 2.47, 2.73, 1.99, 91.53, 78.31, 8.42, 8.42, 1.72
xi_norm_demand_vb_chimerapp_e125_mmse-lsa, 3.53, 2.49, 2.75, 2.02, 91.72, 78.65, 8.65, 8.63, 1.88
xi_norm_demand_vb_chimerapp_e125_srwf, 3.52, 2.48, 2.74, 2.01, 91.64, 78.50, 8.54, 8.53, 1.80
xi_db_demand_vb_chimerapp_e125_mmse-lsa, 4.21, 3.37, 3.57, 2.91, 94.08, 85.03, 17.16, 17.06, 8.35
xi_db_demand_vb_chimerapp_e125_srwf, 4.17, 3.25, 3.49, 2.79, 94.08, 84.89, 16.18, 16.10, 7.37
xi_db_std_demand_vb_chimerapp_e125_mmse-lsa, 4.23, 3.47, 3.59, 2.93, 93.75, 84.74, 18.35, 18.26, 9.51
xi_db_std_demand_vb_chimerapp_e125_srwf, 4.20, 3.38, 3.52, 2.83, 93.75, 84.60, 17.75, 17.68, 8.88
xi_db_norm_mse_demand_vb_chimerapp_e125_mmse-lsa, 4.33, 3.51, 3.69, 3.01, 94.16, 85.45, 18.31, 18.23, 9.46
xi_db_norm_mse_demand_vb_chimerapp_e125_srwf, 4.30, 3.42, 3.62, 2.91, 94.15, 85.31, 17.65, 17.58, 8.75
xi_db_norm_demand_vb_chimerapp_e125_mmse-lsa, 4.31, 3.49, 3.67, 2.99, 93.99, 85.29, 18.22, 18.13, 9.37
xi_db_norm_demand_vb_chimerapp_e125_srwf, 4.28, 3.40, 3.60, 2.89, 94.00, 85.17, 17.55, 17.47, 8.65
xi_bar_mse_demand_vb_chimerapp_e125_mmse-lsa, 4.27, 3.49, 3.64, 2.98, 93.87, 84.96, 18.37, 18.28, 9.45
xi_bar_mse_demand_vb_chimerapp_e125_srwf, 4.24, 3.39, 3.56, 2.87, 93.89, 84.85, 17.75, 17.67, 8.78
xi_bar_demand_vb_chimerapp_e125_mmse-lsa, 4.23, 3.46, 3.60, 2.95, 93.75, 84.73, 18.21, 18.12, 9.30
xi_bar_demand_vb_chimerapp_e125_srwf, 4.20, 3.36, 3.53, 2.84, 93.76, 84.59, 17.52, 17.44, 8.55
xi_gamma_norm_demand_vb_chimerapp_e125_mmse-lsa, 3.52, 2.48, 2.75, 2.01, 91.75, 78.72, 8.59, 8.57, 1.85
xi_gamma_db_demand_vb_chimerapp_e125_mmse-lsa, 4.25, 3.41, 3.60, 2.94, 93.97, 85.08, 17.52, 17.43, 8.67
xi_gamma_db_norm_mse_demand_vb_chimerapp_e125_mmse-lsa, 4.32, 3.53, 3.70, 3.03, 94.22, 85.61, 18.44, 18.36, 9.57
xi_gamma_db_norm_demand_vb_chimerapp_e125_mmse-lsa, 4.34, 3.54, 3.72, 3.05, 94.23, 85.49, 18.45, 18.37, 9.59
xi_gamma_bar_mse_demand_vb_chimerapp_e125_mmse-lsa, 4.32, 3.51, 3.69, 3.03, 93.99, 85.29, 18.33, 18.25, 9.43
xi_gamma_bar_demand_vb_chimerapp_e125_mmse-lsa, 4.26, 3.49, 3.63, 2.97, 93.91, 85.11, 18.32, 18.23, 9.41
